Symbol,DATE,Open Price,Prev Close,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
RELIANCE,15-Feb-2017,1052.9,1049.8,1057.5,1045.25,1050.35,1051.3,1052.94,3482845,3667220075.7,73263
RELIANCE,16-Feb-2017,1052.55,1051.3,1069.45,1052.55,1065.95,1067.5,1062.56,4492847,4773923841.15,54707
RELIANCE,17-Feb-2017,1066.5,1067.5,1078.2,1058.45,1070.7,1075.5,1070.57,3393856,3633367038.25,72587
RELIANCE,20-Feb-2017,1070.55,1075.5,1078.85,1066.5,1075,1075.4,1074.6,2663127,2861806843.25,46942
RELIANCE,21-Feb-2017,1075.2,1075.4,1090.95,1073.05,1088.1,1088.2,1084.82,3242790,3517853373.6,78020
RELIANCE,22-Feb-2017,1093,1088.2,1211.65,1092,1209.8,1207.5,1177.82,29103926,34279184225.25,529232
RELIANCE,23-Feb-2017,1213.6,1207.5,1222,1179.35,1186.8,1182.75,1196.34,14229234,17023004700.95,325600
RELIANCE,27-Feb-2017,1190.5,1182.75,1256.8,1190.35,1237.55,1238.9,1241.99,19068911,23683416513.5,248086
RELIANCE,28-Feb-2017,1232,1238.9,1248,1228.5,1237.65,1238.05,1240.68,8254531,10241229539.45,132662
RELIANCE,01-Mar-2017,1240.1,1238.05,1244.4,1230,1231.55,1234.5,1238.28,5574153,6902376075.8,86071
RELIANCE,02-Mar-2017,1237.9,1234.5,1254.7,1227.05,1234.95,1236.75,1241.01,4129033,5124164949.85,114912
RELIANCE,03-Mar-2017,1241.55,1236.75,1287.8,1241.55,1258.6,1258.55,1269.09,19270851,24456422018.25,218969
RELIANCE,06-Mar-2017,1269,1258.55,1312,1265.25,1308,1305.35,1298.39,15252154,19803196906.45,271304
RELIANCE,07-Mar-2017,1318.85,1305.35,1327,1296.15,1306.35,1304.95,1309.21,9616850,12590518108.2,187234
RELIANCE,08-Mar-2017,1307.7,1304.95,1307.7,1286.1,1288.15,1291.2,1294.73,9906103,12825718917.95,117724
RELIANCE,09-Mar-2017,1290,1291.2,1298,1281.5,1285.4,1286.75,1287.46,7107670,9150874646.6,91156
RELIANCE,10-Mar-2017,1290.25,1286.75,1296,1261.2,1279.1,1281.65,1282.25,5665568,7264671759.9,82236
RELIANCE,14-Mar-2017,1318.75,1281.65,1319,1285.25,1288.25,1289.5,1299.08,6346620,8244794509.15,148050
RELIANCE,15-Mar-2017,1291.05,1289.5,1316.3,1290.4,1302,1304.95,1306.9,5510658,7201863485.5,118169
RELIANCE,16-Mar-2017,1310,1304.95,1310.4,1293.6,1296.8,1297.65,1300.24,3639964,4732822404.2,101204
RELIANCE,17-Mar-2017,1308,1297.65,1319.95,1298.05,1300.55,1300.7,1302.8,5195076,6768124195.2,103713
RELIANCE,20-Mar-2017,1306,1300.7,1306.25,1278.35,1280.95,1280.8,1287.84,2941714,3788456426.1,85225
RELIANCE,21-Mar-2017,1282.2,1280.8,1283.9,1259.3,1265.2,1263.8,1270.21,5165107,6560786985.85,97439
